DAPI_Intensity,pyrP_Intenisty,ssaA_Intenisty,pbuX_Intenisty
227099.00,19490.00,9484.00,15985.00
126769.00,14055.00,6862.00,13499.00
107785.00,13402.00,5147.00,9489.00
109844.00,13708.00,6055.00,11743.00
160545.50,17612.00,7611.00,15809.00
126759.00,14135.00,7627.00,11132.00
129837.00,14114.00,10272.00,9638.00
129645.00,13643.00,5650.00,10589.00
80523.00,13149.00,5258.00,9257.00
132976.00,14465.00,6344.00,10135.00
106330.00,14279.00,5575.00,13602.00
93926.00,13126.00,5327.00,9563.00
124960.00,14746.00,7117.00,9445.00
121725.00,13465.00,5814.00,11077.00
122200.00,13866.00,8241.00,11780.00
116487.00,13466.00,5748.00,9063.00
120019.00,14995.00,5370.00,14712.00
87095.00,12750.00,6533.00,11980.00
101268.00,14331.00,5889.00,13604.00
100415.00,12950.00,7779.00,8025.00
81864.00,13328.00,8235.00,8870.00
136084.00,14246.00,7470.00,16432.00
125253.00,13443.00,7448.00,17673.00
74651.00,14759.00,5507.00,6117.00
76009.00,13662.00,7277.00,8831.00
98048.00,14070.00,6428.00,10988.00
112364.00,13802.00,6256.00,9770.00
118580.00,14200.00,6083.00,14997.00
104209.00,14948.00,5439.00,10943.00
87126.00,12393.00,5439.00,9791.00
94796.00,14056.00,5708.00,7191.00
87585.00,13331.00,7604.00,13057.00
100026.00,14574.00,5768.00,9351.00
112433.00,14819.00,6116.00,16393.00
101161.00,13457.00,5744.00,11465.00
93882.00,13822.00,7194.00,13249.00
94743.00,13303.00,5145.00,12230.00
89780.00,14252.00,5713.00,8171.00
125605.00,14359.00,6974.00,16849.00
76638.00,12712.00,5487.00,8560.00
106099.00,14605.00,5427.00,7565.00
118760.50,13848.00,6068.00,14578.00
73011.00,12878.00,5834.00,11882.00
96601.00,13164.00,7502.00,11194.00
86135.00,13869.00,7987.00,7849.00
118670.00,13738.00,9037.00,13543.00
108674.00,13522.00,6032.00,9284.00
83481.00,13687.00,6952.00,10437.00
94620.00,13406.00,6852.00,14404.00
97026.00,13660.00,7120.00,11600.00
115696.00,14214.00,6055.00,11645.00
74845.00,12944.00,5173.00,13510.00
92718.00,13155.00,5511.00,14241.00
96827.00,15578.00,5607.00,9571.00
97654.00,13738.00,5849.00,17051.00
97163.00,13901.00,6073.00,16944.00
92782.00,13131.00,5844.00,9579.00
61598.00,15118.00,5218.00,5866.00
84682.00,13575.00,6014.00,13217.00
71441.00,12339.00,8435.00,7218.00
99765.00,14100.00,7468.00,11941.00
75914.00,12788.00,5302.00,13916.00
69169.00,12966.00,5415.00,11077.00
110955.00,13672.00,7472.00,13136.00
86615.00,13698.00,5266.00,11243.00
76934.00,13704.00,5681.00,10321.00
106837.00,15162.00,6060.00,12695.00
86818.00,13120.00,5961.00,10020.00
82105.00,12861.00,5251.00,11110.00
77498.00,12714.00,6465.00,10942.00
94218.00,14729.00,5611.00,8892.00
71636.00,12843.00,5700.00,8453.00
86817.00,13738.00,6326.00,9567.00
82873.00,13765.00,5271.00,5865.00
95937.00,15992.00,8269.00,7040.00
90856.00,13708.00,5518.00,9882.00
88265.00,14606.00,5670.00,7967.00
76096.00,13122.00,6242.00,8349.00
96655.00,14269.00,5635.00,12872.00
103230.00,13554.00,5413.00,8719.00
74678.00,13297.00,6346.00,11211.00
82090.00,13685.00,5446.00,8980.00
124063.00,14141.00,6299.00,12932.00
95321.00,13570.00,6091.00,15122.00
71480.00,13224.00,5205.00,12134.00
116585.00,13906.00,6305.00,12218.00
75557.00,13297.00,5277.00,10376.00
81866.00,13494.00,7260.00,8064.00
80653.00,12864.00,5349.00,8785.00
74373.00,13184.00,5346.00,9690.00
98572.00,14692.00,5780.00,14704.00
69565.00,12792.00,6412.00,11238.00
66975.00,13210.00,8398.00,13749.00
69198.00,13099.00,6603.00,10842.00
97480.00,13224.00,5820.00,8911.00
76040.00,13175.00,6169.00,11182.00
79029.00,13110.00,7229.00,11948.00
87308.00,13014.00,5953.00,9235.00
98565.00,13745.00,6744.00,11055.00
76694.00,13042.00,5351.00,9635.00
74241.00,13450.00,5393.00,9344.00
78271.00,13193.00,5398.00,11111.00
105808.00,13390.00,7071.00,14999.00
101633.00,15843.00,7222.00,14037.00
73052.00,12891.00,5499.00,13682.00
67212.00,12761.00,4992.00,7399.00
65122.00,12681.00,5357.00,11190.00
77200.00,14118.00,5993.00,12801.00
76434.00,13016.00,5709.00,13584.00
83489.00,13597.00,8337.00,8707.00
75878.00,13307.00,5438.00,11504.00
75095.00,12808.00,5235.00,6702.00
70356.00,12981.00,5876.00,14414.00
76524.00,13366.00,5679.00,13634.00
68773.00,13339.00,5211.00,9023.00
97625.00,14788.00,5996.00,9095.00
89038.00,13676.00,10953.00,13382.00
84005.00,13710.00,8693.00,9439.00
108143.00,13817.00,6473.00,14789.00
76580.00,12872.00,5881.00,6878.00
92066.00,14226.00,6927.00,14656.00
82703.00,13233.00,5720.00,10277.00
106910.00,14326.00,5667.00,9639.00
72732.00,12862.00,6180.00,9831.00
63827.00,13078.00,5135.00,5847.00
98465.00,13792.00,9240.00,11802.00
114618.00,14473.00,6594.00,13308.00
69596.00,12996.00,5159.00,8784.00
71156.00,13254.00,5711.00,8670.00
74650.00,12979.00,5202.00,9074.00
109332.00,13841.00,5818.00,13892.00
81640.00,13097.00,5746.00,9870.00
116807.00,14539.00,7228.00,14532.00
86294.00,16392.00,5786.00,12319.00
103326.00,14241.00,6061.00,9992.00
73934.00,12969.00,7384.00,12343.00
71412.00,13164.00,5844.00,11951.00
90079.00,14025.00,6564.00,11395.00
99761.00,13979.00,5724.00,13986.00
76304.00,13310.00,10866.00,7692.00
80646.00,13101.00,5391.00,15191.00
87801.00,13605.00,6040.00,10072.00
57075.00,13813.00,5156.00,5807.00
73390.00,12997.00,5275.00,10673.00
84925.00,13047.00,6395.00,12907.00
90874.00,13914.00,5829.00,15330.00
80476.00,13302.00,5751.00,13592.00
83046.00,13552.00,5420.00,7260.00
72819.00,15243.00,6359.00,11067.00
118275.50,14541.00,8476.00,12140.00
65767.00,12714.00,5928.00,8782.00
106948.00,13965.00,6181.00,17802.00
85084.00,13728.00,5172.00,10294.00
87241.00,13460.00,6315.00,13974.00
87748.00,15732.00,8680.00,12329.00
91325.00,13941.00,6931.00,9388.00
71350.00,12745.00,5481.00,6913.00
66807.00,12642.00,5484.00,9978.00
78975.00,13427.00,5312.00,11307.00
65343.00,12797.00,6577.00,12785.00
83155.00,13601.00,7238.00,13473.00
91501.00,13546.00,6920.50,13136.00
77385.00,13116.00,6321.00,9438.00
102468.00,14270.00,5430.00,12200.00
85652.00,13830.00,5883.00,12578.00
67289.00,13157.00,5049.00,7470.00
86705.00,13846.00,5568.00,10233.00
69369.00,12728.00,5522.00,11553.00
104638.00,28021.00,7678.00,10453.00
82954.00,13778.00,6296.00,12005.00
71468.00,13027.00,5365.00,9856.00
169789.00,16808.00,7710.00,19854.00
92733.00,12729.00,5402.00,10188.00
78996.00,13383.00,5615.00,9422.00
84464.00,13796.00,7221.00,12964.00
90614.00,13417.00,6122.00,11020.00
70502.00,12936.00,5163.00,11888.00
89867.00,13352.00,5753.00,10174.00
76447.00,13884.00,10388.00,11191.00
62319.00,12428.00,5025.00,8508.00
80180.00,13694.00,6013.00,12384.00
84307.50,13674.00,5690.00,10750.00
81598.00,13730.00,5263.00,9672.00
93431.00,14123.00,5929.00,14825.00
89945.00,14255.00,7343.00,15870.00
74540.00,13272.00,6470.00,14034.00
60686.00,15119.00,5258.00,5870.00
105132.00,13658.00,5711.00,11296.00
89185.00,14438.00,6115.00,10236.00
77041.00,13364.00,5504.00,13104.00
64248.00,12523.00,5271.00,8668.00
63514.00,12584.00,6951.00,8231.00
74517.00,12871.00,7504.00,7513.00
89244.00,13605.00,5727.00,13544.00
61356.00,12487.00,5117.00,7898.00
94292.00,13638.00,6650.00,14070.00
57350.00,14706.00,5210.50,6026.00
65913.00,12722.00,5125.00,9926.00
76013.00,12986.00,5363.00,8351.00
80757.00,13188.00,5517.00,11829.00
81225.00,13740.00,6390.00,13684.00
73308.00,13175.00,5248.00,11826.00
75122.00,13286.00,13892.00,11122.00
85862.00,13399.00,5903.00,9577.00
71512.00,12888.00,5751.00,12703.00
82072.00,13374.00,5444.00,11010.00
69502.50,13209.00,5680.00,10656.00
