"","seqid","source","type","start","end","score","strand","phase","ID","coverage","sequence_ID","extra_copy_number","copy_num_ID"
"1","ctg.s1.000000F","Liftoff","gene",544,1905,".","+",".","SAUSA300_RS00010","1.0","1.0","0","SAUSA300_RS00010_0"
"2","ctg.s1.000000F","Liftoff","gene",2183,3316,".","+",".","SAUSA300_RS00015","1.0","1.0","0","SAUSA300_RS00015_0"
"3","ctg.s1.000000F","Liftoff","gene",3697,3942,".","+",".","SAUSA300_RS00020","1.0","1.0","0","SAUSA300_RS00020_0"
"4","ctg.s1.000000F","Liftoff","gene",3939,5051,".","+",".","SAUSA300_RS00025","1.0","0.999","0","SAUSA300_RS00025_0"
"5","ctg.s1.000000F","Liftoff","gene",5061,6995,".","+",".","SAUSA300_RS00030","1.0","1.0","0","SAUSA300_RS00030_0"
"6","ctg.s1.000000F","Liftoff","gene",7032,9695,".","+",".","SAUSA300_RS00035","1.0","1.0","0","SAUSA300_RS00035_0"
"7","ctg.s1.000000F","Liftoff","gene",9782,10594,".","-",".","SAUSA300_RS00040","1.0","1.0","0","SAUSA300_RS00040_0"
"8","ctg.s1.000000F","Liftoff","gene",10920,12434,".","+",".","SAUSA300_RS00045","1.0","1.0","0","SAUSA300_RS00045_0"
"9","ctg.s1.000000F","Liftoff","gene",12635,12823,".","-",".","SAUSA300_RS14945","1.0","1.0","0","SAUSA300_RS14945_0"
"10","ctg.s1.000000F","Liftoff","gene",12813,14099,".","+",".","SAUSA300_RS00050","1.0","1.0","0","SAUSA300_RS00050_0"
"11","ctg.s1.000000F","Liftoff","gene",14749,15444,".","+",".","SAUSA300_RS00055","1.0","1.0","0","SAUSA300_RS00055_0"
"12","ctg.s1.000000F","Liftoff","gene",15441,15770,".","+",".","SAUSA300_RS00060","1.0","1.0","0","SAUSA300_RS00060_0"
"13","ctg.s1.000000F","Liftoff","gene",16133,17101,".","+",".","SAUSA300_RS00065","1.0","1.0","0","SAUSA300_RS00065_0"
"14","ctg.s1.000000F","Liftoff","gene",17392,18330,".","+",".","SAUSA300_RS00070","1.0","1.0","0","SAUSA300_RS00070_0"
"15","ctg.s1.000000F","Liftoff","gene",18345,20312,".","+",".","SAUSA300_RS00075","1.0","1.0","0","SAUSA300_RS00075_0"
